user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
alxssax,841043307241205760,1,1012795547806248962,7722,7722.0,best girls ranked by sports: 15. you14. can’t13. rank12. them11. because10. they9. are8. all7. very6. amazing5. in 4. their3. own2. way1. Softball players
GovMikeHuckabee,15416505,1,1010636832411971584,5534,5534.0,Yes @ktumulty because MS-13 is not a race but an illegal gang who rapes murders and mutilates children as sport. Nancy Pelosi defended them because she said @realDonaldTrump insulted them. Are you defending them too?  Wasn’t aware that criminal was a “race.”https://twitter.com/ktumulty/status/1010619958399848448 …
avee_miller,814686215693893632,1,1012090231934324739,5434,5434.0,best guys ranked by sports: 15. you14. can’t13. rank12. them11. because10. they9. are8. all7. very6. amazing5. in 4. their3. own2. way1. BASEBALL PLAYERS
TheNickGeller,948064349880504322,1,1005934659933540352,2707,2707.0,Letting transgender “women” compete in girl sports is literally the most idiotic & unfair thing I’ve ever seen in my life. I can’t believe that people are continuing to be okay with allowing boys who call themselves girls compete in girls sports. This needs to stop.
Macca26efc,223871403,1,1011735372580184069,1919,1919.0,See thats real an genuine not a gang of try hards in a sports bar in Milton Keynes tipping lager on their heads cos Kane slots a pen to make it 5-0 against fucking Panama https://twitter.com/sportingintel/status/1011733191974113280 …
anascoalition,999401471912435713,1,1004501498938712064,1315,1315.0,We celebrate Daina Boateng Protocol Officer at the Ministry of Sports. She rejected the bribe insisting we follow the right procedure for securing visa. #Number12#IamAnas#SayNoToCorruption@anasglobalpic.twitter.com/WiaXu9m0Y1
BaseballCentraI,2385739904,1,1008459850857279489,632,632.0,One of the coolest father and son moments in sports. Ken Griffey Sr. and Ken Griffey Jr. hit back to back dingers  pic.twitter.com/GOVmKRjGIr
CoachWilcox55,520058630,1,1002683745483321344,600,600.0,4 Reasons to Multi-Sport in HS:1)Memories and Experiences-More games more teammates and more opportunities to have fun and grow2)Develop New Skills-Develop different aspects of your skillset to help make a you a better athlete3)Deter Burnout4)Increase College Exposure
NewtonCaylin,3751432995,1,1007015434456059905,466,466.0,I don’t personally know my man Jordan McNair but RIP brother From one student athlete to the next. Many won’t ever know the blood sweat and tears us athletes put into the sport we play. Some lose their life playing the sport they love. Life is bigger than a game. pic.twitter.com/TcSpKmG4Cw
Billbrowder,29769998,1,1006648918539632645,373,373.0,This is great. The Rodchenkov Anti Doping Act introduced in Congress today. Time to create some real consequences for Putins cheating in sports if the International Olympic Committee cant or wont.  https://www.nytimes.com/2018/06/12/sports/american-doping-criminal-law.html …
utdxtra,2196205482,1,1007742286891974656,369,369.0,David de Gea: “I think the Spanish sports critic are harder on me.  I dont see any good talk about me. I think there are a lot of people who didnt defend me when they could have defended me.” #mufc [Onda Cero]
Will__NE,634776678,1,1011752101255565312,349,349.0,Bet that one weird facebook friend that shares memes comparing diving football players and bleeding rugby players are fucking livid no one gives a shite about their second rate sport now
