user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
sugafull27,774044251470589952,1,1009947233536610304,1004,1004.0,Sports Seoul did a survey on Power People in the Music industry (done by ppl who work in the same industry)Ppl who work in the same music industry picked @BTS_twt as the #1 Power People The best kpop producer #1 Bang ShihyukThe best male idol #1 BTS#KCAMexico #ARMYhttps://twitter.com/gingerol95/status/1009942017189687296 …
CrossProb,1695197335,1,1012833276879364096,940,940.0,best sports:13. you12. cant11. possibly10. rank9. sports8. they7. are6. all5. unique4. and3. completely2. different1. cross country
Michael_Buffer,1571185868,1,1009944473994817536,714,714.0,I’ve been on safari hunting and shooting-WITH A CAMERA!! The very 1st animal sighted on the 1st day was a  magnificent beautiful giraffe!! I still choke up thinking about it! Any bastard that kills (any animal) for pleasurecalling it sport is the scum of the earth! https://twitter.com/tonybellew/status/1009853592520491008 …
jamescharles,1117786405,1,1002698896743657473,700,700.0,my friends & I play a sister sport where we call everything sister ______. basically u pick a sister synonym for everyday nouns that starts with the letter s and use that instead of the word. it’s so fun try it
JasonManford,48706026,1,1005932354039353345,610,610.0,My favourite moment from ‘celeb footy games’ was a fair few years ago when I took a penalty at Old Trafford for Sport Relief whipped my @ManCity shirt out got screamed at by 35000 fans in front of the Stretford End & then got booked for my troubles! #socceraidpic.twitter.com/gte1zL6DaQ
John_Kavanagh,14173770,1,1005596450435289088,427,427.0,Tough watching a former champion fight on early prelims and get badly KOd. You finish your career making highlight reels or featuring on someone elses if you hang around too long. Tough tough sport. #UFC225
GTBaseball,112816422,1,1003777828905631745,384,384.0,With the  pick in the 2018 @MLBDraft the @SFGiants have selected Georgia Tech’s Joey Bart Joey is the highest #MLBDraft pick in #GaTech history and tied for the highest @GTAthletics pick in a major professional sports draft! #TogetherWeSwarm #ProJacketspic.twitter.com/VekQ9hUOAI
iubiscuit,3463395976,1,1009947479838806016,302,302.0,[Sports Seoul] Music Power People survey among people in the industry. As of 2018 who is the most influential figure in the Korean pop scene?.Male Soloist: G-DragonFemale Soloist: IUhttp://entertain.naver.com/read?oid=468&aid=0000396974&lfrom=twitter …pic.twitter.com/w474i9ZBPn
ramyeonduo,891085434209550336,2,1009945660483751936,499,249.5,Most Powerful Girl Groups as voted by 35 executives from the music industry:1st TWICE2nd RED VELVET3rd BLACKPINK4th MAMAMOO5th GFRIENDRed Velvet rose to 2nd from 5th place last year. Increased points in popularity and fandom.Source: Sports Seoulhttp://naver.me/xwbzyLhK pic.twitter.com/nE92SdS0bY
GetOnSwag,3131557841,1,1003757324501176321,207,207.0,180531 Mnet M!Cowntdown [ JIMIN #JIMIN #BTS #지민 #방탄소년단 ]KOLON SPORT - NOMAD palm trees robe approx. 140 usd pic.twitter.com/VIni7BBRej
kenbensinger,31280510,2,1012100941233811456,356,178.0,Reminder: FIFA is a massive geopolitical story larger than sport. Here’s Sepp Blatter banned by FIFA gleefully waving his World Cup pass in the face of everyone. Who personally invited him to Russia? Vladimir Putin that’s who. pic.twitter.com/WK31shPpcK
Patricia_J,27762612,1,1004840266824605696,174,174.0,I’m so proud to be the *NEW* owner of my dream car: Range Rover Sport V6 HSE and this Glamgirl had to coordinate my look to be twinning with my new baby!A huge thank you to the @GrandTouringGTA team CEO Paul Cummings & Director of Sales Jack Varisco for taking care of me!pic.twitter.com/2q4aJY0tBZ
DaPatMac,2983268813,1,1007762924847489024,169,169.0,An unpainted factory mold test of the Jakks Pacific World of Nintendo Waluigi 4” figure I acquired off of TaoBao. He sports some snazzy pink pants (legs?) gloves and shoes. pic.twitter.com/PnKlU3Sl3i
dabeard,28279637,1,1002689898309210118,141,141.0,One day in apartheid South Africa @StevieVanZandt saw his cabbie swerve to hit a black pedestrian for sport. The author of what would become an anthem against racism “Sun City” thought: “How can I bring this government down?” #smwkndpic.twitter.com/EVljNGzMyA
aidosaur,21415375,1,1004845067033567234,135,135.0,Due to popular demand weve resurrected Sports Anime— its now available on a baseball tee unisex tee ladies tee & tanktop and as a tote     https://johnnywander.myshopify.com/ pic.twitter.com/OOcSgn5XQQ
MikeGarafolo,12513132,1,1002669352884293632,128,128.0,Carson Wentz’s @AO1Foundation tonight will present a check for $520k to Mission of Hope Haiti for the construction of a sports complex in Haiti. Wentz also announces a food truck titled “Thy Kingdom Crumb” will drive around Philly giving out free food to those in need. pic.twitter.com/7ZdsR72HLI
btowncoachmay,2420851976,1,1005959186784669697,126,126.0,Southridge Semi State Baseball Champions. From Scott Buening {Southridges State Champion Football Coach} all 19 baseball players play 3 sports. 10 of the 19 played football & of the 10 baseball starters 8 of them played football. You can play Multi- Sports & be successful.
AndyOstroy,123281100,1,1003786656669978625,125,125.0,The United States president isnt welcome at weddings. Hes not welcome at funerals. He cant go to the WH Coresps dinner. The Kennedy Center Honors. Championship sports teams dont want to be with him at the WH. Hes toxic. A pariah. A scourge on America & the world.... #Trumphttps://twitter.com/jaketapper/status/1003777598906863616 …
nicole_mendes_,1064720095,1,1003368286569029632,124,124.0,“There is no one Holy like The Lord;there is no one besides You;there is no Rock like our God.”                            1 Samuel 2:2 •Win or lose I praise you Lord. •I love this team. I love this school. I love this sport. I love our fans. I love my God.
renoomokri,264248576,1,1003751388013256710,104,104.0,The only way the Buhari Admin can win the #BuhariChallenge and name one project Buhari has initiated started and completed in the last three years is if they include lying as a sport in the Olympics. If they do Lai Mohammed and @Garshehu will win gold and silver for Nigeria!
aakhtar,19062700,1,1012098306741293061,100,100.0,Disgraceful and needs action. We cannot say for certain like to see a public inquiry on cause of this disaster. But appears highly likely the extent of fires causing such damage is another outcome of this extraordinarily destructive“sport”.  #Manchesterhttps://www.theguardian.com/commentisfree/2018/jun/27/moors-grouse-shooting-saddleworth-fire-sport-land?CMP=share_btn_tw …
AnimalLeague,15678511,1,1004498281874034689,96,96.0,Meet Brittney! Brittney has a lust for life and adventure. She loves having a job to do and a person to please! She would do great in an active home with people who enjoy outdoor activities such as hiking as well as dog sports such as agility.  #GetYourRescueOnpic.twitter.com/eKV0OO809q
dfstoken,899039227144425472,2,1010992475681447936,172,86.0,Digital Fantasy Sports $DFS Token is now featured on 8 #EXCHANGESFull List: http://www.DFSToken.com  The #1 #FantasySports Gaming Token built on #Blockchain Technology and #ETH #SmartContracts24/7 Chat: https://discord.gg/EQVZXZU #AIRDROP ENDS 6/30: https://twitter.com/dfstoken/status/1007048287080386561 …pic.twitter.com/1d8EWgLu9g
BTSportBoxing,198867393,3,1009904161079508992,243,81.0,Things got heated at the press conference... Roll on fight night! Murray vs Garcia Yarde vs Sek Davis vs Kumanga Dubois vs Little BT Sport 1 HD Saturday 7pm pic.twitter.com/268L3OlTbl
Realmadridplace,246936253,1,1007758105499918337,73,73.0,Corriere dello Sport cover : “Give him the (salary) increase!” - A show for the eyes that reconciles us with the World Cup - on the way to find a solution with Real Madrid for money Cristiano turns into a monster: scoring a hat-trick to slow down “his” Spain. pic.twitter.com/YQErlOlwP6
NRandonFactor,19909064,1,1003783898671845384,72,72.0,This is Jacklyn Ellis. A BriSCA F1 stock car driver. In a tough male-dominated sport Jacklyn whos 5ft nothing just won a race at Buxton against the very best in the sport. A former NHS worker shes a brave girl both at work & at play. Please share. @BSCDAF1 @RacEllispic.twitter.com/TjbC6kHz44
lthomasnews,43334982,1,1003384160940167168,72,72.0,Some complain MMA media spends more time than other sports media on issues like this.However athletes in other sports do not routinely do things like defend Nazi tattoos or racial epithets or anti-gay slurs or murderous dictators. We are constantly dealing with this stuff. https://twitter.com/EricSpicely/status/1003382595466551297 …
