user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
ARmastrangelo,26520948,1,1007763374120275970,1370,1370.0,I dont carry a firearm for hunting for protecting myself from potential attackers on the street or for sportAll of those reasons are perks of having the #2AI carry a firearm to dissuade government from becoming tyrannical; to remind government that it is SUBORDINATE to ME
BillieJeanKing,35391464,1,1010672291024375808,924,924.0,Many years ago I testified on Capitol Hill on behalf of #TitleIX to help girls and women advance in their sport. Today on the 46th anniversary of its passage I’m thankful to all those who have fought tirelessly for equality. The work continues. #TitleIXat46 #equality
CardsFromAttic,850435801687183362,1,1006685974695501824,173,173.0,Who wants a batch of mixed sports? #AtticSalesRookies autos & relics. These are the four lots I listed earlier. I will sell all the lots for $100 delivered. Everything pictured is included. 90+ cards.RETWEET for a chance to win an AUTO & RELIC #PrizePack. Winner picked 6/14pic.twitter.com/rLgrCHYu9J
IowaCubs,23598711,1,1013563591897776128,36,36.0,So saddened to learn about the passing of Larry Cotlar during last night’s floods. Larry was a fixture in the Des Moines sports community for decades. Whenever he came to the ballpark we grew to expect a smile on his face and a good conversation to be had.Rest In Peace Larry.
55krissi55,240684576,1,1011000699285581825,34,34.0,#imagine if UK was bombed we had no electricity no water no hospitalsno schools no food. Imagine we jumped on a boatwith our children 2escape bombs & arrived at France asking for help & France turned us away or left us in Tents for many months/years.#sport 4 #Refugeespic.twitter.com/MfcdW5kSih
peteroche,122745488,1,1004472666051489793,31,31.0,Ok folks dont ask 2 often but if people can RT and keep an eye out for a bike like this (Boardman MX Sport Bike - 49cm) stolen from Tesco Poleberry @ 6:30 pm this evening. 2 scumbags with cutters cut the lock and took it. Belongs 2 my young lad. Any help appreciated. P pic.twitter.com/wlzDCc6yJm
AntWadley325,38551742,1,1004852330397872128,30,30.0,Lebrons whole career is eventually going to be reduced to a narrative by the Lebron worshiping sports media that has him as the best player of all-time due to his stats but never had enough help to match Jordan or Kobe title wise because he didnt have enough help. That is...
counterchekist,839420851099471873,1,1007026966258741248,21,21.0,I’ve always been on the fence about public spending for campaigns. For example I don’t want $1 of my tax money going to help tRUmplicans get elected/re-elected. Perhaps we could do what pro sports leagues have done— cap campaign spending to a certain $ amount per-year.
drkyle4congress,862874165581418500,1,1004856794861228033,20,20.0,#CleanWaterWeek is coming to an end! Grab a #CleanOurWater sports bottle or a #ProtectOurCoast tote bag! Your donation will help our people-powered campaign put a #DrInTheHouse whos fighting to #ProtectOurCoast #CleanOurAir & Clean Our Water! #NC07https://secure.actblue.com/donate/drkyleshop …
TWilsonOttawa,3246325157,1,1002693147141509123,19,19.0,The CCFR is committed to changing the narrative about firearms ownership in Canada. Bringing our sport to a national television platform will help normalize Canadas most vetted law abiding citizens. Support our initiative and be a part of history. https://www.patreon.com/CCFR pic.twitter.com/vGYQ51p7hE
