user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
elonmusk,44196397,1,1005582744980606976,3360,3360.0,19 years ago when my 1st company got bought I had to decide between buying a house in Palo Alto or a McLaren F1 (best car ever imo). Was no contest. I bought F1 & a small condo that was much cheaper than the car. New Tesla Roadster will exceed all gas sports cars in every way…
AngeliPV,171553344,1,1012838940678578176,1333,1333.0,So Toys R Us closed down. Why am I so sad ? Toys today are all gadgets like Smartphones & tablets. No one plays with real toys anymore. Teenage Depression is at an all-time high.  Why am I not surpised? Get out of your gadgets & pray bike hike play sports & talk to others!
doyou_bangtan,874265612393922561,1,1011036035608793088,896,896.0,Yoon Jong Shin speaks about #BTS in an interview with Sports Seoul.Title: “The BTS that Producer Yoon Jong Shin saw “A team that will receive love for a long long time I send applause to Bang Shi Hyuk” Original article here: https://bit.ly/2IkEAb7 . This is only an excerpt.pic.twitter.com/kDxcMYYARL
Saber_Says,909664162946666496,1,1012116791785656320,567,567.0,Shirou: Saber!Saber: *cough* m-master...Shirou: Saber stay with me we have to win...Saber: The opponents are beyond my strength...Shirou: Never give up Saber we can win...Shirou: WE CAN WIN WII SPORTS TOGETHER!*Wii Sports Theme Song kicks in* pic.twitter.com/jciMVqsXmI
KySportsRadio,21920725,1,1003787855821508608,351,351.0,CM Newton has passed away...an icon in SEC and UK sports who hired Rick Pitino Tubby Smith and Hal Mumme at Kentucky (among others). With long history at UK and Transylvania he was a Lexington sports fixture and a truly nice man. Rest In Peace C.M.
readDanwrite,22589449,1,1008813176497065984,102,102.0,Jay-Z has joined Puma as head of basketball ops. (via @Complex scoop.) reminder: Roc Nation Sports basketball clients include: Durant Jeremy Lin Danny Green Chris Boucher Rudy Gay Justise Winslow Wilson Chandler Willie Cauley-Stein Moritz Wagner Zhaire Smith.
Eleanor_Greet,761948002651107328,1,1012108592525332480,91,91.0,Sex isnt work apparently. So here are some things that are:Rubbing a semi naked sweaty person with oil.Repeatedly hitting someone in the head for sport.Getting naked & simulating sex to be watched by cinema audiences.Arresting & incarcerating sex workers for working.
FuckYTFragility,992449381315022849,1,1003774966289043456,71,71.0,As Black People so many of us are distracted by absolute sh*t.• For example BP can recite methodically and chronologically Hip Hop ‘beefs’ Sport wins and losses or nonsense from the Bible.• However ask BP to name even TEN African/Black Revolutionaries. F*cking silence. pic.twitter.com/KmniVvGVUf
mcten,22494516,1,1011713332645187589,64,64.0,Jamel Artis a former wing player at University of Pittsburgh will play on the Cleveland Cavaliers summer league roster in Las Vegas Artis agent Daniel Hazan of Hazan Sports Management told ESPN. Artis was a two-way player with the Orlando Magic last season
FootyAccums,263257931,1,1006638203946881030,58,58.0,Manchester United is the world’s most valuable football team in the World.They are worth $4.12 billion up from $3.69 billion last year.10 most valuable Sports teams:1. Dallas Cowboys2. Manchester United3. Real Madrid4. Barcelona5. New York YankeesCredit: @Forbespic.twitter.com/pxDfXiPQUF
Pirates,37947138,1,1013548047857483776,57,57.0,File this under Hashtag Good Tweet:Pirates rookie Colin Moran has 2 grand slams this season.....Per Elias (Sports Bureau not Diaz) the only other Pirates rookie to hit more than one grand slam in one season was Wally Westlake with two in 1947.  pic.twitter.com/YJzN9uV4lM
PunishPence,841381342885625856,1,1003385183771480064,53,53.0,“In May Trump and Mike Pence recognized National Physical Fitness and Sports Month” HRC wrote. “And yet they still refuse to recognize #Pride month for #LGBTQ Americans. Why are Trump and Pence so insistent on erasing us?”https://www.teenvogue.com/story/trump-white-house-2018-pride-month/amp …
WallyCummins,28426445,2,1010977906200338440,99,49.5,Tip for MS State fans.. rally items such as the banana don’t carry over into other years or sports.  They end when the season ends.  If carried on they actually are rumored to turn into a curse.  Rally banana was fun but I don’t want to see any banana stuff when football starts.
GVLeasing,986628985185619969,1,1006637169014988806,39,39.0,Mercedes OfferA200d Sport ManualIncludes Metallic PaintPersonal or Business Contract Hire 6+47 - £200.92 ex vat per month10k miles per year Other contract terms/mileages availablePicture for illustration purposes only#gvleasing #carleasingteesside #ukcarleasepic.twitter.com/JTAca8yRCf
IsimaOdeh,2496687274,2,1012801860548382720,77,38.5,Jay-Z is the Worlds Richest Rapper with a net worth of $900 million. He owns Tidal Roc Nation Roc Nation Sports 40/40 Club restaurants is an investor in JetSmarter. He sold Rocawear for $204m Roc-A-Fella for $11.5m & his stake in Brooklyn Nets & Barclays Center for $2m.
EricChumbler,36378495,1,1009920157257551873,33,33.0,Here is the up-to-date McCracken County High School ALL-TIME Sports Record through 5 years as a school:• 882 Wins• 348 Losses• 71.7% Winning Percentage• 3 NATIONAL Championships• 10 STATE Championships• 37 REGIONAL Championships• Outscored Opponents by 6111 Points pic.twitter.com/AZqW01x4F7
Raaderer8,280397916,2,1009938846933536770,62,31.0,girl breathes: sHe WaNtS tO iMprEsS a GuYgirl watches sports: sHe WaNtS tO iMprEsS a GuYgirl uses deodorant: sHe WaNtS tO iMprEsS a GuYgirl pees: sHe WaNtS tO iMprEsS a GuYit’s beyond laughable at this point. https://twitter.com/ohheemgeee/status/1009850886653382656 …
