user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
NCAAsoftball,38724129,1,1003383351007326208,3108,3108.0,Throughout the rollercoaster of life you have been there for me.@OU_Softballs Paige Lowary writes an emotional letter to the sport of softball. #WCWSpic.twitter.com/2qTApvl4F4
anthonypadilla,19748674,1,1012810528429707264,2286,2286.0,doctor: you should really start working out. maybe incorporate sports into your life.me: pic.twitter.com/hnNpUYz4wA
abzdotmo,4709143000,1,1004507808732151810,1861,1861.0,Badminton is soooo underrated. Badboy sport idcccc https://twitter.com/98fxm/status/1004507348092833792 …
ryanrodigwfrv,85171509,1,1005595470838816768,1824,1824.0,Best uniforms in the history of Sport as the @TimberRattlers transform into the Wisconsin Brats tonight.pic.twitter.com/jB7ePANJ7U
whitsiee,860321080896086016,1,1004836108189028354,1534,1534.0,I’m gonna go ahead and assume this is just a small taste of what women in sports media deal with on the daily. Ladies keep grinding. pic.twitter.com/LDWJ3vyTb9
jackdre02,162944094,1,1013525555252203520,1527,1527.0,Degea watching Goalkeepers stop Penalties and wondering... What sport is this? pic.twitter.com/yroxceARI5
Gingerhazing,387186414,1,1011004968080310273,1361,1361.0,Big Girlfriend actually plays sports Small Girlfriend just shows up to start fights pic.twitter.com/Mrk2wuA3Gq
SaraSampaio,251716551,2,1006667843381944322,2619,1309.5,Bull fighting is not a sport! It’s animal cruelty! #stopbullfighting
TeaPainUSA,2421067430,1,1008480413017395200,1027,1027.0,If this is true then theyre just doin it for sport which is 10 times worse.  Time to take down this whole corrupt regime!https://twitter.com/SecNielsen/status/1008467414235992069 …
PFTCommenter,858716964,1,1013532672042389505,934,934.0,Croatia: certfied #good sport’s town pic.twitter.com/Tls3p7XVdi
espn,2557521,1,1013537420757827584,933,933.0,Moments like this are why we love sports. More than 4000 athletes are in Seattle for the 50th anniversary of @SpecialOlympics with coverage starting today on ABC.pic.twitter.com/hav3a1ZKOY
ATLUTD,2413176055,1,1004871020828766208,932,932.0,Coach of the Year Team of the Year Professional Athlete of the YearThank you Atlanta Sports Awards! pic.twitter.com/pRCCKxOrEd
JOEL9ONE,1128886760,1,1006681149291335685,898,898.0,The late June sports void post Stanley cup/NBA finals is real.
AJEnglish,4970411,1,1004483162058248192,849,849.0,This is major. If Im right this is the first sports boycott of its kind. An indication of mainstream support for Palestine. http://aje.io/5lshe
