user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
AngeliPV,171553344,1,1012838940678578176,1333,1333.0,So Toys R Us closed down. Why am I so sad ? Toys today are all gadgets like Smartphones & tablets. No one plays with real toys anymore. Teenage Depression is at an all-time high.  Why am I not surpised? Get out of your gadgets & pray bike hike play sports & talk to others!
doyou_bangtan,874265612393922561,1,1011036035608793088,896,896.0,Yoon Jong Shin speaks about #BTS in an interview with Sports Seoul.Title: “The BTS that Producer Yoon Jong Shin saw “A team that will receive love for a long long time I send applause to Bang Shi Hyuk” Original article here: https://bit.ly/2IkEAb7 . This is only an excerpt.pic.twitter.com/kDxcMYYARL
KySportsRadio,21920725,1,1003787855821508608,351,351.0,CM Newton has passed away...an icon in SEC and UK sports who hired Rick Pitino Tubby Smith and Hal Mumme at Kentucky (among others). With long history at UK and Transylvania he was a Lexington sports fixture and a truly nice man. Rest In Peace C.M.
readDanwrite,22589449,1,1008813176497065984,102,102.0,Jay-Z has joined Puma as head of basketball ops. (via @Complex scoop.) reminder: Roc Nation Sports basketball clients include: Durant Jeremy Lin Danny Green Chris Boucher Rudy Gay Justise Winslow Wilson Chandler Willie Cauley-Stein Moritz Wagner Zhaire Smith.
Eleanor_Greet,761948002651107328,1,1012108592525332480,91,91.0,Sex isnt work apparently. So here are some things that are:Rubbing a semi naked sweaty person with oil.Repeatedly hitting someone in the head for sport.Getting naked & simulating sex to be watched by cinema audiences.Arresting & incarcerating sex workers for working.
MomoMadeinJapan,87719657,1,1003400655040544770,72,72.0,TWICE 1st Japanese Album & Arena tour in Japan! Dates:29~30/09 - Chiba - Makuhari event hall - 9k capacity02~03/10 - Aichi - Nippon gaishi hall - 10k 12~13~14/10 - Hyōgo Prefecture​ -Kobe World Memorial Hall - 8k 16~17/10 - Tokyo - Musashino Forest Sports Plaza - 10k
FuckYTFragility,992449381315022849,1,1003774966289043456,71,71.0,As Black People so many of us are distracted by absolute sh*t.• For example BP can recite methodically and chronologically Hip Hop ‘beefs’ Sport wins and losses or nonsense from the Bible.• However ask BP to name even TEN African/Black Revolutionaries. F*cking silence. pic.twitter.com/KmniVvGVUf
mcten,22494516,1,1011713332645187589,64,64.0,Jamel Artis a former wing player at University of Pittsburgh will play on the Cleveland Cavaliers summer league roster in Las Vegas Artis agent Daniel Hazan of Hazan Sports Management told ESPN. Artis was a two-way player with the Orlando Magic last season
WallyCummins,28426445,2,1010977906200338440,99,49.5,Tip for MS State fans.. rally items such as the banana don’t carry over into other years or sports.  They end when the season ends.  If carried on they actually are rumored to turn into a curse.  Rally banana was fun but I don’t want to see any banana stuff when football starts.
GVLeasing,986628985185619969,1,1006637169014988806,39,39.0,Mercedes OfferA200d Sport ManualIncludes Metallic PaintPersonal or Business Contract Hire 6+47 - £200.92 ex vat per month10k miles per year Other contract terms/mileages availablePicture for illustration purposes only#gvleasing #carleasingteesside #ukcarleasepic.twitter.com/JTAca8yRCf
IsimaOdeh,2496687274,2,1012801860548382720,77,38.5,Jay-Z is the Worlds Richest Rapper with a net worth of $900 million. He owns Tidal Roc Nation Roc Nation Sports 40/40 Club restaurants is an investor in JetSmarter. He sold Rocawear for $204m Roc-A-Fella for $11.5m & his stake in Brooklyn Nets & Barclays Center for $2m.
Raaderer8,280397916,2,1009938846933536770,62,31.0,girl breathes: sHe WaNtS tO iMprEsS a GuYgirl watches sports: sHe WaNtS tO iMprEsS a GuYgirl uses deodorant: sHe WaNtS tO iMprEsS a GuYgirl pees: sHe WaNtS tO iMprEsS a GuYit’s beyond laughable at this point. https://twitter.com/ohheemgeee/status/1009850886653382656 …
Bellagardner71,906997066190204935,1,1005590612316512257,24,24.0,RT if you want to be in a WDW rp -Relationships let them happen naturally -have fun and be nice -and comment who you want to be- Gabbie Christina and ash are taken -sports open: The boys Anna Seavey Tyler Seavey Eben Ava Stanford Esther Syd Avery and anyone else
Real_IkennaObi,403571887,1,1008816295356305409,23,23.0,Sensitive content: footage has surfaced of the 20 year old rapper #xxxtentacion laying lifelessly in his sports car after allegedly being shot by a man on a bike. #stoptviolence #spreadlove #prayers #forgive #hiphop #rapper #rap #peace #life #tmz #america #thefour #ikennaobisblogpic.twitter.com/pvVeLWV5IS
thesolerestocks,799291157222146048,1,1012796617328611328,20,20.0,#YEEZY BUTTER is hitting online stockists tomorrow and stock is thought to be decent!JD Sports (6am) > http://bit.ly/2lFmuaM  Foot Locker UK (6am) > http://bit.ly/2jBZmtU Footpatrol (6am) > http://bit.ly/1TCEUCk pic.twitter.com/9yg2jqS3Vl
BoxingKingdom14,3185144029,3,1004839151840083968,44,14.666666666666666,Reminder. SHOWTIME Sports has secured the U.S. rights to stream Fury vs Seferi. SHOWTIME BOXING INTERNATIONAL® will stream live exclusively to U.S. audiences on the SHOWTIME Boxing Facebook page and SHOWTIME Sports YouTube Channel beginning at 4:30 p.m. ET/1:30 p.m. PT.
DLDesignerCraft,3188076780,1,1008488936048680960,14,14.0,Cheerleading Hair Ties - Cheerleading Gift - Red White Blue - Gift for Coach - Gift for Girl - Cheer Team Gifts - Party Favors - Sports Gift https://etsy.me/2JLq8OL  via @Etsy #cheerhairties #etsyretwt #etsymntt #epiconetsy #etsyseller #byes #cheergifts #cheerleader
paida_garwe,2751891898,1,1009933554346799104,13,13.0,If been saying Zimbabwe should start 2 new sports:1. Kombi Formula Racing (KOFORA)2. Pimp My Kombi (PMK)Weve got the pimped up kombis weve got a race track (borrowdale race course) so why not!? https://twitter.com/CurateZim/status/1009668914215899136 …
haayyita,228842010,1,1012077196637364224,13,13.0,Men : women are bad driversMen : women suck at sportMen : Women are always lateMen : Women are chattyMen : *10- hour long pyaar ka punchnama speech about generalising women as bitches*Women : Men are trashMen : Y u generalizing you feminazi not all men bitchhhh #Copied
thesolesupplier,1651093056,3,1012841911458127878,37,12.333333333333334,The mayhem begins early! Set those alarms  #YEEZYJD Sports (6am) > http://bit.ly/2lFmuaM Foot Locker UK (6am) > http://bit.ly/2IA64cJ Footpatrol (6am) > http://bit.ly/1TCEUCk adidas UK (9am) > http://bit.ly/2tMp6uq pic.twitter.com/KV4lcUfY2Z
wcisports,2742826656,1,1002700229093810176,12,12.0,Rockridges Amelia Thomas (left) celebrates with teammate Kadey Garrett as Garrett jumps into her father Jim Garretts arms. Garretts two-run single capped a seventh inning comeback as the Rockets defeated Pinckneyville 4-3 in a Class 2A State Semifinal [STEVE DAVIS/WCI Sports] pic.twitter.com/Lwm9xMV9bP
follow_cobras,3741040094,1,1011735270075568128,12,12.0,Congratulations to Colby Seltzer on his State Championship and being named 1st Team All State 1st Team All State Tournament Team All State All Star C 1st Team All District 3B Star Telegram All Area 1st Team Sports Day All Area 1st Team 5A State HR Leader (12). 18U Tinius. pic.twitter.com/J6Fr1Xgv1O
wrestlingmatch,246017865,1,1010664300216713218,12,12.0,http://GLOBALFIGHT.com  wrestling muscle hunks gayhunks #gaymuscle #gaydudes #gayguys #gayman #gaymen #muscle #muscles #mma #fighting #sports #fights #fightnight #wrestlebear #gaysports #gayjock #gayhunk #gaymales #wellhunggay #wrestlebear #prowrestling #prowrestler #indywrestlerpic.twitter.com/XBQUPjXgnW
rmsexuality,740592901982277632,1,1010984810490277888,12,12.0,Yoonkook Au Jungkook trains hard n thinks yoongi is lazy and doesnt take the sport serious. He hates Yoongis guts n  always shades him on twt. Aka Yoongi is a disaster gay who joined a race to win over Jungkooks heart but won and made his crush hate him pic.twitter.com/KEXDI5AALi
Murphhyy_,3310323795,1,1004482361751371776,11,11.0,A carriage clock sports jacket n a wallet aye £60 init.N a pipe n two ounce a tabbaca Shhhh ehh what else ehhWheres yer tankard?AW MA TANKARD YA BASTARD aw sorry hen no you.
LeeAnnStar23,454278495,1,1012828193714331648,11,11.0,Oooh she has got a big ole behind! I mean Id like to slap some barbecue sauce on that big ol butt and just uh burr burr burr burr burrrr. OOwwwwooooo!!!! - Champ Kind sports. #ass # #DatAssTho Im working on it to be better thoughpic.twitter.com/QBnL4sA9Wg
eRepublicUSA,64121026,1,1005909460559097856,10,10.0,Easy to explain:1. Zionists control Congress2. Zionists control the Media3. Rothschilds control the President4. Military Industrial Complex needs wars to profit its shareholders5. Americans are too distracted watching news sports & shopping to know any better https://twitter.com/RichardReichle/status/1005809011575291909 …
Gistoffreedom,20646637,1,1009568350828224518,10,10.0,THE #NEW NORTH CAROLINA MUSEUM The North Carolina Roots of Artist Ernie Barnesopens June 29! http://bit.ly/2J0cM09  Ernie Barnes a Durham North Carolina artist chronicled his personal experiences with the NFL music dance love sports education churchand the South! pic.twitter.com/bpB9fVX8n8
BlairImani,4726534534,1,1010999529905139712,10,10.0,Womanhood is valid whether you are she/he/they/zir/your name. Whether you have facial hair or none. Whether you’re high femme butch stud or somewhere outside or in between. Whether you beat your face for the gods or sport a bare face. Your womanhood is valid.
CoachIvlow,948332568948207617,1,1004498421095550978,9,9.0,When it comes to sports hearing a coach say the words “You’re too small” “You’re not fast enough” “You’re not tall enough” can have an impact on yourself. Don’t let it be a negative impact!! Take those words and add fuel to your fire. Chase down your dreams!
uSTADIUM,588507819,1,1009915387004284928,9,9.0,Sports Insights odds to win #NFL MVP.Aaron Rodgers +550Tom Brady +600Carson Wentz +875Drew Brees +1250Deshaun Watson +1800Russell Wilson +1800Jimmy Garoppolo +1825Kirk Cousins +2000Matt Ryan +2000Cam Newton +2050Philip Rivers +2500pic.twitter.com/VLLV3PtJ9c
mgiannotto,26650171,2,1006645378618306560,16,8.0,After tallying responses to my Memphis sports Mount Rushmore request top vote getters were:1) Penny Hardaway2) Larry Finch3) DeAngelo Williams4) Jerry Lawler5) Zach Randolph6) Tim McCarver7) John Calipari8) Cary Middlecoff/Gene Bartow/Tony Allen9) Keith Lee
CelticFCAcademy,3362626372,2,1004466764082761731,16,8.0,E DUN COUNTY SPORTSSt Ninian’s pupils who are in our Academy. Well done. 100m Gold Letsosa Relay 4x100m Gold - RecordLetsosa McPherson Hepburn200m Gold  - Record  HepburnLong Jump Bronze LetsosaHigh Jump Silver Letsosa pic.twitter.com/7Qt2j0KNJc
RhiPonies,759932323601129473,1,1011760650752790528,8,8.0,The Rainbow Maned Warhorse the Charismatic E-neigh-gma this Jeff Hardy Pony sports one of Jeff’s logos from TNA and the classic Hardy Boyz logo. @JEFFHARDYBRAND #etsy #linkinbio #jeffhardy #hardyboyz #wwe #tna #prowrestling #mlp #mylittlepony #custompony #rhipackagedponiespic.twitter.com/7XNg6nHNnu
teonalashay,2913292477,1,1011752032557064194,8,8.0,#WhoswhoOfASU* teona bowles* t / lil t / lil bit / big country* olive branch ms* #Alcorn21* biology pre-professional* presidential scholar* alcorn softball{Swac East Champs 2018}* love to laugh & chill * NEED NEW GIRL FRIENDS!!!* i love sports & pizza pic.twitter.com/dOfLOHWe31
WestcoastCfb,951123368543072257,1,1008819432666218496,8,8.0,Sports Illustrated Top 100 2018 CFB Players (51-100):53. Stephen Carr (USC)55. Taylor Rapp (UW)58. Myles Gaskin (UW)61. Justin Herbert (UO)88. Nate Herbig (Stanford)89. Jalen Jelks (UO)92. Jake Browning (UW)93. Caleb Wilson (UCLA) 96. Ugochukwu Amadi (UO)
mostwiselatina,57211570,1,1007774521443487745,8,8.0,So interesting about MCKENNA PRUITT now at University of Virginia LAW SCHOOL as a 1L. She WAS an intern at WHITE HOUSE as was MICHAEL COHENS daughter SAMANTHA COHEN. And RUDY GIULIANIS son ANDREW GIULIANI is an event planner* at WH.*plans sports teams visits... pic.twitter.com/cb3g62L05H
