user@mention,user_id,No of tweets,tweet_id,retweet_count,local influence score,Tweet
GovMikeHuckabee,15416505,1,1010636832411971584,5534,5534.0,Yes @ktumulty because MS-13 is not a race but an illegal gang who rapes murders and mutilates children as sport. Nancy Pelosi defended them because she said @realDonaldTrump insulted them. Are you defending them too?  Wasn’t aware that criminal was a “race.”https://twitter.com/ktumulty/status/1010619958399848448 …
TheNickGeller,948064349880504322,1,1005934659933540352,2707,2707.0,Letting transgender “women” compete in girl sports is literally the most idiotic & unfair thing I’ve ever seen in my life. I can’t believe that people are continuing to be okay with allowing boys who call themselves girls compete in girls sports. This needs to stop.
sugafull27,774044251470589952,1,1009947233536610304,1004,1004.0,Sports Seoul did a survey on Power People in the Music industry (done by ppl who work in the same industry)Ppl who work in the same music industry picked @BTS_twt as the #1 Power People The best kpop producer #1 Bang ShihyukThe best male idol #1 BTS#KCAMexico #ARMYhttps://twitter.com/gingerol95/status/1009942017189687296 …
CrossProb,1695197335,1,1012833276879364096,940,940.0,best sports:13. you12. cant11. possibly10. rank9. sports8. they7. are6. all5. unique4. and3. completely2. different1. cross country
BillieJeanKing,35391464,1,1010672291024375808,924,924.0,Many years ago I testified on Capitol Hill on behalf of #TitleIX to help girls and women advance in their sport. Today on the 46th anniversary of its passage I’m thankful to all those who have fought tirelessly for equality. The work continues. #TitleIXat46 #equality
Michael_Buffer,1571185868,1,1009944473994817536,714,714.0,I’ve been on safari hunting and shooting-WITH A CAMERA!! The very 1st animal sighted on the 1st day was a  magnificent beautiful giraffe!! I still choke up thinking about it! Any bastard that kills (any animal) for pleasurecalling it sport is the scum of the earth! https://twitter.com/tonybellew/status/1009853592520491008 …
jamescharles,1117786405,1,1002698896743657473,700,700.0,my friends & I play a sister sport where we call everything sister ______. basically u pick a sister synonym for everyday nouns that starts with the letter s and use that instead of the word. it’s so fun try it
BaseballCentraI,2385739904,1,1008459850857279489,632,632.0,One of the coolest father and son moments in sports. Ken Griffey Sr. and Ken Griffey Jr. hit back to back dingers  pic.twitter.com/GOVmKRjGIr
JasonManford,48706026,1,1005932354039353345,610,610.0,My favourite moment from ‘celeb footy games’ was a fair few years ago when I took a penalty at Old Trafford for Sport Relief whipped my @ManCity shirt out got screamed at by 35000 fans in front of the Stretford End & then got booked for my troubles! #socceraidpic.twitter.com/gte1zL6DaQ
John_Kavanagh,14173770,1,1005596450435289088,427,427.0,Tough watching a former champion fight on early prelims and get badly KOd. You finish your career making highlight reels or featuring on someone elses if you hang around too long. Tough tough sport. #UFC225
